8.19E+17,11/1/2017 10:05,ArianaGrande,malcolm with branch https://t.co/ztBMKcPaGz
8.19E+17,11/1/2017 19:42,ArianaGrande,@iamKENNYLEON love love love you so very much
8.19E+17,11/1/2017 19:43,ArianaGrande,love
8.19E+17,11/1/2017 19:43,ArianaGrande,@HarveyFierstein i love you so much forever
8.19E+17,11/1/2017 23:26,ArianaGrande,hello from rehearsal
8.20E+17,12/1/2017 21:21,ArianaGrande,"dw diaries https://t.co/YeNiLFZSnM
he's gonna pop"
8.20E+17,13/1/2017 7:46,ArianaGrande,night https://t.co/zKvequdlNG
8.20E+17,13/1/2017 19:26,ArianaGrande,"cute but also ceo #unfuckwitable  
#haventsleptinyears https://t.co/Ys0yyCicqZ"
8.20E+17,13/1/2017 19:37,ArianaGrande,hell yeah dude https://t.co/1WXo6vtU6o
8.20E+17,14/1/2017 5:19,ArianaGrande,"baby don't you know, all of them tears gon come and go â™¡ https://t.co/c5KBKqbBHM"
8.20E+17,14/1/2017 5:30,ArianaGrande,"baby you jus gotta make up your mind
that every lil thing is gonna be alright 
ðŸŒ‘ https://t.co/xfCVF8wuwW"
8.20E+17,14/1/2017 18:22,ArianaGrande,i love you ðŸ™ˆ
8.20E+17,14/1/2017 18:24,ArianaGrande,how many more days til dwt? i want to see you now. this is too much.
8.20E+17,14/1/2017 18:29,ArianaGrande,k good that's doable ðŸ™ˆ gettin ready for you https://t.co/vIp6XxNddv
8.20E+17,14/1/2017 18:30,ArianaGrande,me too my love https://t.co/cqN6QYOm6K
8.20E+17,14/1/2017 18:33,ArianaGrande,babyyyyy https://t.co/1bVczMVP7h
8.20E+17,14/1/2017 18:38,ArianaGrande,love you &amp; see you soon https://t.co/5C4OB1E5Nz
8.20E+17,14/1/2017 18:40,ArianaGrande,"omg. well, i'd really prefer it if you didn't. ðŸ™ˆðŸ™ˆ https://t.co/ciIzIHMhKa"
8.20E+17,14/1/2017 18:43,ArianaGrande,i love you i love you https://t.co/FybvDFK8LG
